##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	sel3_SRR5819797.trim_1U.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	591973
Sequences flagged as poor quality	0
Sequence length	36-101
%GC	41
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	25.065704010149112	28.0	22.0	31.0	10.0	31.0
2	27.10265164120661	30.0	25.0	31.0	16.0	31.0
3	28.225817731551945	30.0	27.0	31.0	16.0	33.0
4	32.818797478939075	35.0	32.0	35.0	28.0	37.0
5	33.4445253415274	35.0	33.0	35.0	28.0	37.0
6	33.612843829025984	35.0	33.0	37.0	28.0	37.0
7	33.8471754623944	35.0	33.0	37.0	30.0	37.0
8	33.92095585440552	35.0	33.0	37.0	30.0	37.0
9	35.291221052311506	37.0	34.0	39.0	30.0	39.0
10-11	35.297471337375185	37.0	34.0	39.0	30.0	39.0
12-13	35.25895184408748	37.0	34.0	39.0	30.0	39.0
14-15	36.1049963427386	38.0	34.0	40.0	30.0	41.0
16-17	36.01008914257913	38.0	34.0	40.0	30.0	41.0
18-19	36.15028641508988	38.0	34.0	40.0	30.0	41.0
20-21	36.16140854397075	38.0	34.0	40.0	30.0	41.0
22-23	36.03242039755192	38.0	34.0	40.0	29.5	40.5
24-25	35.91387276108877	38.0	34.0	40.0	29.0	40.5
26-27	35.670152185994965	38.0	34.0	40.0	28.0	40.0
28-29	35.479278615747674	38.0	34.0	40.0	27.0	40.0
30-31	35.413225772121365	37.5	34.0	40.0	27.0	40.0
32-33	34.95254090980501	37.0	33.0	39.0	27.0	40.0
34-35	34.755753218474496	37.0	33.0	39.0	26.0	40.0
36-37	34.546072522094434	37.0	32.5	39.0	25.5	40.0
38-39	34.462476984357224	37.0	32.5	39.0	25.0	40.0
40-41	34.82581435254072	37.0	33.0	39.0	26.5	40.0
42-43	34.98245480472596	37.0	33.0	39.0	27.0	40.0
44-45	35.04802582728972	37.0	33.0	39.0	27.0	40.0
46-47	35.061199185364536	37.0	33.0	39.0	27.0	40.0
48-49	34.93615646387719	37.0	33.0	39.0	27.0	40.0
50-51	34.739159947071755	37.0	33.0	39.0	27.0	40.0
52-53	34.6503671958456	37.0	33.0	39.0	26.5	40.0
54-55	34.54329950180928	37.0	32.5	39.0	26.0	40.0
56-57	34.360283258566696	36.0	32.0	39.0	26.0	40.0
58-59	34.06630286797598	36.0	31.5	39.0	26.0	40.0
60-61	33.94983423751073	36.0	31.0	39.0	26.0	40.0
62-63	33.783997885326464	35.5	31.0	38.0	26.0	40.0
64-65	33.63161993729662	35.0	31.0	38.0	26.0	40.0
66-67	33.36216687749621	35.0	31.0	38.0	26.0	40.0
68-69	33.08342971140927	34.5	31.0	38.0	25.0	40.0
70-71	32.77450550943375	34.0	30.0	37.0	25.0	39.0
72-73	32.52496827807932	34.0	30.0	37.0	25.0	39.0
74-75	32.320705648970176	34.0	30.0	36.0	25.0	39.0
76-77	31.274858586998292	32.5	29.0	35.0	24.5	37.5
78-79	32.45111704143457	34.0	30.5	36.0	26.0	38.0
80-81	32.53935271633965	34.0	31.0	36.0	26.0	38.0
82-83	32.35496838696929	34.0	31.0	35.0	26.0	37.0
84-85	32.1160279050636	34.0	30.0	35.0	26.0	37.0
86-87	31.912040512507076	34.0	30.0	35.0	26.0	36.0
88-89	31.739044141170027	33.5	30.0	35.0	26.0	36.0
90-91	31.557497994474026	33.0	30.0	35.0	25.0	36.0
92-93	31.365359362407375	33.0	30.0	34.5	25.0	35.0
94-95	31.188327151971706	33.0	29.5	34.0	25.0	35.0
96-97	31.169744656553682	33.0	29.5	34.0	25.0	35.0
98-99	31.367201786448554	33.0	30.0	34.0	25.0	35.0
100-101	31.09808163570931	32.5	29.5	34.0	25.0	35.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	1.7310797500816868
1101	2	1.3243489769745551
1101	3	1.3845761900602476
1101	4	1.0617250663855131
1101	5	0.5805691321581037
1101	6	0.37707884856202156
1101	7	0.024481643525923857
1101	8	-0.29524707017099416
1101	9	-0.2140917424213029
1101	10-11	-0.10165136088615156
1101	12-13	-0.3669055069283189
1101	14-15	0.07533835964373026
1101	16-17	0.3827912395589266
1101	18-19	0.4648611979367132
1101	20-21	0.4487989366364147
1101	22-23	0.4737428777818238
1101	24-25	0.6437416937803491
1101	26-27	0.5363858151547518
1101	28-29	0.4195572732465962
1101	30-31	0.6916571627728345
1101	32-33	0.7614204224046617
1101	34-35	0.5990653609298064
1101	36-37	0.8125706174441945
1101	38-39	0.8045731182310405
1101	40-41	0.9871955025351866
1101	42-43	0.9692150808089437
1101	44-45	0.5097487331991672
1101	46-47	0.7087255944017343
1101	48-49	1.0451784181369774
1101	50-51	0.7549826870753051
1101	52-53	0.9554766151188332
1101	54-55	0.7693806338680886
1101	56-57	-0.04839549411674682
1101	58-59	-0.5320095236806353
1101	60-61	-0.3949176274588453
1101	62-63	0.05922794538277998
1101	64-65	0.2970330078335266
1101	66-67	0.35377473973201745
1101	68-69	0.15420317332712585
1101	70-71	0.590021613253775
1101	72-73	0.5521734898438737
1101	74-75	0.18446775901206536
1101	76-77	0.21329587209996959
1101	78-79	0.09078002575216004
1101	80-81	-0.2708772237639536
1101	82-83	-0.07002863524696323
1101	84-85	-0.04721936069444155
1101	86-87	0.17463771284010932
1101	88-89	0.4768335662492582
1101	90-91	0.20946551300348304
1101	92-93	0.20078757920893509
1101	94-95	0.4770996412406241
1101	96-97	0.6543665155359228
1101	98-99	0.46782628748011135
1101	100-101	0.24583988407692559
1102	1	0.366790487725531
1102	2	0.24381664813938642
1102	3	0.4523315230072349
1102	4	0.19140605542986577
1102	5	-0.0878774831798097
1102	6	0.2898751617226054
1102	7	0.20068276392772333
1102	8	0.48577784911040567
1102	9	0.18570680602365996
1102	10-11	0.5811521272613263
1102	12-13	0.48179540650270525
1102	14-15	0.3415165752796767
1102	16-17	0.3915426538592257
1102	18-19	0.46230855836941487
1102	20-21	0.4161148016362759
1102	22-23	-0.04213867974225849
1102	24-25	0.06793174814468017
1102	26-27	0.2200171864051228
1102	28-29	0.34711405222940783
1102	30-31	0.4252857744128775
1102	32-33	0.36070430352064875
1102	34-35	0.26699109981547764
1102	36-37	0.2262419605984647
1102	38-39	0.37546706720847567
1102	40-41	0.35163951695841433
1102	42-43	0.283759266672611
1102	44-45	0.1504318061648462
1102	46-47	0.2984532293166211
1102	48-49	0.261686182344846
1102	50-51	0.007566658176685337
1102	52-53	0.027779793220553017
1102	54-55	0.08214307252477226
1102	56-57	0.21611039424440293
1102	58-59	0.7839701844147484
1102	60-61	0.3841710195641781
1102	62-63	0.27534807804195083
1102	64-65	0.4150947915505441
1102	66-67	0.6562823301249381
1102	68-69	0.27078832753183946
1102	70-71	0.25397173698468833
1102	72-73	0.11572155369398018
1102	74-75	0.3987286582184808
1102	76-77	0.20500314477674308
1102	78-79	-0.09862726992026438
1102	80-81	-0.21549503145580218
1102	82-83	-0.016956447027553168
1102	84-85	0.2828502162329585
1102	86-87	0.2640026460487377
1102	88-89	0.025080714887590005
1102	90-91	-0.02799880903510754
1102	92-93	-0.2254702764644989
1102	94-95	-0.4861934377432462
1102	96-97	-0.3256259407576998
1102	98-99	-0.019178582556097723
1102	100-101	0.1090094277201814
1103	1	1.1528392798654856
1103	2	0.962689814976823
1103	3	0.5541903011293456
1103	4	0.48139932938119756
1103	5	0.4504232780580324
1103	6	0.5625472888512064
1103	7	0.2084491500280592
1103	8	0.4871576319910389
1103	9	0.4869646399845493
1103	10-11	0.5251546290999869
1103	12-13	0.36596121931739845
1103	14-15	0.37679690064442894
1103	16-17	0.4245552950591005
1103	18-19	0.10451105643646486
1103	20-21	0.2169404712552847
