##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	sel3_SRR5819794.trim_2U.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	39743
Sequences flagged as poor quality	0
Sequence length	36-101
%GC	42
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	27.35490526633621	30.0	26.0	31.0	16.0	34.0
2	27.933195782905166	30.0	26.0	31.0	16.0	34.0
3	28.323277055078883	30.0	27.0	31.0	22.0	34.0
4	31.79926024708754	35.0	30.0	35.0	24.0	37.0
5	31.835920791082707	35.0	30.0	37.0	22.0	37.0
6	31.917218126462522	35.0	30.0	37.0	23.0	37.0
7	32.03185466623053	35.0	30.0	37.0	25.0	37.0
8	32.0254132803261	35.0	30.0	37.0	25.0	37.0
9	33.11677528118159	35.0	30.0	39.0	25.0	39.0
10-11	33.19456256447676	35.0	30.0	39.0	25.0	39.0
12-13	33.176987142389855	35.0	30.5	39.0	25.0	39.0
14-15	33.96048360717611	36.0	31.0	40.0	25.0	41.0
16-17	33.95496062199632	36.0	31.0	40.0	25.0	41.0
18-19	34.00132098734368	36.0	31.0	40.0	25.0	41.0
20-21	33.921709483431044	36.0	31.0	40.0	24.5	41.0
22-23	33.60143924716302	36.0	30.5	40.0	24.0	41.0
24-25	33.70827567118738	36.0	30.5	39.0	24.0	41.0
26-27	33.55334272702111	36.0	30.0	39.0	24.0	41.0
28-29	33.39484940744282	36.0	30.0	39.0	24.0	41.0
30-31	33.30277029917218	35.5	30.0	39.0	24.0	41.0
32-33	33.22507108169992	35.5	30.0	39.0	24.0	41.0
34-35	33.023689706363385	35.0	30.0	39.0	23.5	41.0
36-37	32.96613953986697	35.0	30.0	39.0	23.0	41.0
38-39	33.038105779637036	35.0	30.0	39.0	23.5	41.0
40-41	32.98536609098286	35.0	30.0	39.0	23.5	40.5
42-43	33.213035737943386	35.0	30.0	39.0	24.0	41.0
44-45	33.21317953032673	35.0	30.0	39.0	24.0	41.0
46-47	33.29816534339567	35.0	30.0	39.0	24.0	40.5
48-49	33.45592844703427	35.0	30.0	39.0	24.0	41.0
50-51	32.70721661073897	34.0	29.5	38.0	23.5	40.0
52-53	33.136702111591276	35.0	30.0	38.5	24.0	40.0
54-55	33.78469657697552	35.0	31.0	39.0	24.5	40.5
56-57	33.82161576578096	35.0	31.0	39.0	24.5	41.0
58-59	33.740919399798656	35.0	31.0	39.0	24.5	41.0
60-61	33.54277572654787	35.0	30.5	39.0	24.0	41.0
62-63	33.40599039167085	35.0	30.0	39.0	24.0	41.0
64-65	33.266489247480024	35.0	30.0	39.0	24.0	40.0
66-67	33.289182713533535	35.0	30.0	38.0	24.5	40.0
68-69	33.36580758590817	35.0	31.0	38.0	26.0	40.0
70-71	33.216754270968686	34.5	31.0	38.0	26.0	40.0
72-73	32.971449716108154	34.0	30.0	37.0	25.5	40.0
74-75	32.804964224132846	34.0	30.0	37.0	25.5	39.5
76-77	32.63989523174678	34.0	30.0	36.5	26.0	39.0
78-79	32.47913641256844	34.0	30.0	36.0	25.5	39.0
80-81	32.32146817485922	34.0	30.0	36.0	25.5	38.5
82-83	32.187513874869246	34.0	30.0	35.0	26.0	37.5
84-85	31.989540489488107	34.0	30.0	35.0	25.0	37.0
86-87	31.877737736504123	34.0	30.0	35.0	25.0	37.0
88-89	31.71262049326507	34.0	30.0	35.0	25.0	36.0
90-91	31.661075650882225	34.0	30.0	35.0	25.0	36.0
92-93	31.57005580805427	33.0	30.0	35.0	25.0	36.0
94-95	31.600746005748483	33.5	30.0	35.0	25.0	36.0
96-97	31.627258915864523	33.0	30.0	35.0	25.0	35.0
98-99	31.833965401413685	33.5	30.0	35.0	26.0	35.0
100-101	31.33385214191098	33.0	29.5	34.5	25.0	35.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	2.9449957745962934
1101	2	3.2119474548491347
1101	3	2.876036782017362
1101	4	1.7223139598930466
1101	5	3.1123788667927457
1101	6	3.1793450039820357
1101	7	2.4808759658235857
1101	8	3.122640486513397
1101	9	1.995190636217913
1101	10-11	3.545169569025461
1101	12-13	3.017343089227296
1101	14-15	3.3807874184194517
1101	16-17	2.397124818745617
1101	18-19	3.0666225455501035
1101	20-21	3.2069671134115225
1101	22-23	4.506277814709058
1101	24-25	3.8369320227304655
1101	26-27	4.041608656748743
1101	28-29	2.4525716322852134
1101	30-31	3.995942341943625
1101	32-33	1.9804909245820355
1101	34-35	3.5767850454165355
1101	36-37	3.4081146877464477
1101	38-39	3.129699972603248
1101	40-41	3.5781144121802484
1101	42-43	3.032614631853498
1101	44-45	2.8797482815992197
1101	46-47	3.8558861551699835
1101	48-49	3.433417952391004
1101	50-51	1.9454299364091412
1101	52-53	2.075614205798061
1101	54-55	2.1087306443800387
1101	56-57	3.7125554263958875
1101	58-59	3.249595911130207
1101	60-61	3.029742983731019
1101	62-63	0.778621220047917
1101	64-65	2.1008177925528386
1101	66-67	0.2793272494460268
1101	68-69	0.44273256695009167
1101	70-71	1.7333061394571132
1101	72-73	1.4205683108534046
1101	74-75	1.9631869269922149
1101	76-77	0.7890412208295672
1101	78-79	1.452396208778275
1101	80-81	1.4286827492109708
1101	82-83	0.025871627080633175
1101	84-85	0.7990825536041726
1101	86-87	1.8959441783573432
1101	88-89	2.5452066105502027
1101	90-91	2.4553945666324033
1101	92-93	2.671682091609977
1101	94-95	2.5896805304586756
1101	96-97	1.6325533577014646
1101	98-99	0.05082329683617104
1101	100-101	0.3780229333637948
1102	1	1.759930839531357
1102	2	0.1924669353686177
1102	3	-0.5200671140865367
1102	4	0.14114512872421514
1102	5	0.44030094471482784
1102	6	-0.226499151862118
1102	7	-0.9412019562543321
1102	8	-0.6500867862138762
1102	9	-0.813250922223645
1102	10-11	0.8195202183761126
1102	12-13	0.4264339983182026
1102	14-15	1.0918263794584107
1102	16-17	0.005891052511849182
1102	18-19	0.1380511169786729
1102	20-21	1.1582658147102265
1102	22-23	0.2968622302934705
1102	24-25	1.9327112435096794
1102	26-27	-0.005469265329182349
1102	28-29	1.2707534504670264
1102	30-31	1.6290592250605087
1102	32-33	1.4707506648417805
1102	34-35	-0.822565603934116
1102	36-37	0.3691536487854066
1102	38-39	1.2530765959798629
1102	40-41	1.6557959898618293
1102	42-43	1.1388694881083552
1102	44-45	0.643734295585233
1102	46-47	0.04610593538976815
1102	48-49	0.6010370000100593
1102	50-51	0.6894775554567545
1102	52-53	0.7571618248456744
1102	54-55	0.8323848886864624
1102	56-57	1.6223380350915377
1102	58-59	-0.3906214801741399
1102	60-61	1.2058299402527553
1102	62-63	1.3916646983087944
1102	64-65	0.7279917055963168
1102	66-67	0.29540276432017265
1102	68-69	0.5868973266754907
1102	70-71	0.11545716920539917
1102	72-73	-0.07828752438686593
1102	74-75	0.79480401318596
1102	76-77	0.644539942057186
1102	78-79	0.01761360008261903
1102	80-81	-0.1058441050089769
1102	82-83	-0.27463988187077604
1102	84-85	0.9992637130244617
1102	86-87	0.2322537021668616
1102	88-89	-0.5595552942117017
1102	90-91	-0.07793876670092814
1102	92-93	1.307396377324256
1102	94-95	-0.8138908981127564
1102	96-97	0.42183907198718273
1102	98-99	1.1686804396933077
1102	100-101	0.43474562243942216
1103	1	1.420069088379286
1103	2	1.1210383639400447
1103	3	1.6619605356830505
1103	4	0.43492393056753187
1103	5	2.2340797465581446
1103	6	0.33916905090286065
1103	7	1.457415555266401
1103	8	1.2047519234635402
1103	9	2.1418182022003194
1103	10-11	1.1426769004037567
1103	12-13	2.3538533531569144
1103	14-15	0.44896923660126475
1103	16-17	1.1977113290095502
1103	18-19	1.5424289971630074
1103	20-21	0.99582341839686
1103	22-23	1.0048115390492356
1103	24-25	0.4263748379797292
