##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	sel3_SRR5819799.trim_2U.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	504082
Sequences flagged as poor quality	0
Sequence length	36-101
%GC	42
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.773600326930936	33.0	31.0	34.0	30.0	34.0
2	31.959254645077586	34.0	31.0	34.0	30.0	34.0
3	32.03604572271971	34.0	31.0	34.0	30.0	34.0
4	35.583567752865605	37.0	35.0	37.0	33.0	37.0
5	35.5948595664991	37.0	35.0	37.0	33.0	37.0
6	35.51140290666994	37.0	35.0	37.0	33.0	37.0
7	35.47536710297134	37.0	35.0	37.0	33.0	37.0
8	35.46545998468503	37.0	35.0	37.0	33.0	37.0
9	37.00891521617515	39.0	37.0	39.0	33.0	39.0
10-11	36.99191103828345	39.0	37.0	39.0	33.0	39.0
12-13	36.95672926230256	39.0	37.0	39.0	33.0	39.0
14-15	38.17108327613364	40.0	37.5	41.0	33.0	41.0
16-17	38.1422318194262	40.0	37.0	41.0	33.0	41.0
18-19	38.15951769751747	40.0	37.5	41.0	33.0	41.0
20-21	38.115845239465	40.0	37.0	41.0	33.0	41.0
22-23	37.99354370915843	40.0	37.0	41.0	32.0	41.0
24-25	37.93270737697438	40.0	37.0	41.0	32.0	41.0
26-27	37.84602604338183	40.0	37.0	41.0	32.0	41.0
28-29	37.763980860256865	40.0	37.0	41.0	32.0	41.0
30-31	37.654351871322525	40.0	37.0	41.0	32.0	41.0
32-33	37.523558667042266	40.0	36.5	41.0	31.0	41.0
34-35	37.409581179252584	40.0	36.0	41.0	31.0	41.0
36-37	37.449680216385545	40.0	36.0	41.0	31.0	41.0
38-39	37.44554529855549	40.0	36.0	41.0	31.0	41.0
40-41	37.37994622923318	39.5	36.0	41.0	31.0	41.0
42-43	37.33131235324595	39.0	36.0	41.0	31.0	41.0
44-45	37.3480025061915	39.0	36.0	41.0	31.0	41.0
46-47	37.42860646502774	39.5	36.0	41.0	31.0	41.0
48-49	37.38101891432318	39.0	36.0	41.0	31.0	41.0
50-51	37.01855700810971	38.5	35.5	40.5	30.5	41.0
52-53	37.035934806654126	39.0	35.5	40.0	31.0	41.0
54-55	37.24822911880168	39.0	36.0	41.0	31.0	41.0
56-57	37.18586612452549	39.0	35.0	41.0	31.0	41.0
58-59	37.052492678167276	39.0	35.0	41.0	31.0	41.0
60-61	36.88395033305154	39.0	35.0	40.5	31.0	41.0
62-63	36.67436148475313	38.0	35.0	40.0	30.5	41.0
64-65	36.51474786444986	38.0	35.0	40.0	30.0	41.0
66-67	36.310939139293055	38.0	35.0	40.0	30.0	41.0
68-69	36.08905013096354	37.0	34.0	40.0	30.0	41.0
70-71	35.83019000900103	37.0	34.0	40.0	30.0	41.0
72-73	35.58032649862646	36.0	34.0	39.0	30.0	41.0
74-75	35.33826508759893	36.0	34.0	39.0	29.5	41.0
76-77	34.255427219116946	35.0	32.5	38.0	28.5	40.0
78-79	34.807402879754264	35.0	33.5	38.0	29.0	40.0
80-81	34.75804865906779	35.0	34.0	37.5	29.0	40.0
82-83	34.55069958767541	35.0	33.5	37.0	29.0	40.0
84-85	34.391585343630865	35.0	33.0	37.0	29.0	40.0
86-87	34.259951114691034	35.0	33.0	36.0	29.0	39.0
88-89	34.10456072251071	35.0	33.0	36.0	29.0	39.0
90-91	33.941050134094034	35.0	33.0	36.0	29.0	39.0
92-93	33.755183931626966	35.0	33.0	35.5	29.0	38.0
94-95	33.63654138142324	35.0	33.0	35.0	29.0	38.0
96-97	33.53985963072785	35.0	33.0	35.0	29.0	37.0
98-99	33.46028078114804	35.0	33.0	35.0	29.0	37.0
100-101	32.932518025688516	34.5	32.0	35.0	27.5	36.5
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	0.5342315845980288
1101	2	0.43038652064611327
1101	3	0.40121680692155337
1101	4	0.3694711278199989
1101	5	0.30249323974284437
1101	6	0.23251039322297373
1101	7	0.10294732170182641
1101	8	0.20419225229456117
1101	9	-0.30029634750705014
1101	10-11	0.061782469556796116
1101	12-13	-0.024622386296378806
1101	14-15	0.10140253270537869
1101	16-17	0.46204211993403277
1101	18-19	0.7431376412603328
1101	20-21	0.7200057765511332
1101	22-23	0.5880534300017004
1101	24-25	0.5233207907785626
1101	26-27	0.25944791839672376
1101	28-29	0.6391820385141287
1101	30-31	0.5173772591152286
1101	32-33	0.3342655311382714
1101	34-35	0.4997201073988293
1101	36-37	0.3211634542150108
1101	38-39	0.5500204875045185
1101	40-41	0.6505625558219137
1101	42-43	0.517534859680751
1101	44-45	0.4336098647023121
1101	46-47	0.5056693178051077
1101	48-49	0.513559567752651
1101	50-51	0.6212741628760483
1101	52-53	0.4837640446424345
1101	54-55	0.09726823033473408
1101	56-57	-0.10806755654891731
1101	58-59	-0.00905952435992674
1101	60-61	-0.0476272469939758
1101	62-63	0.10048248015012007
1101	64-65	0.4559611277450273
1101	66-67	0.48590333171918587
1101	68-69	0.03357980106249414
1101	70-71	0.133804960825735
1101	72-73	0.2940527141069751
1101	74-75	0.42754673043302915
1101	76-77	0.10569526924737005
1101	78-79	0.240881894899573
1101	80-81	-0.2966076582620687
1101	82-83	-0.14763295626391937
1101	84-85	0.26911132687845196
1101	86-87	0.04498491149373507
1101	88-89	-0.06498705281627082
1101	90-91	0.10108070412841386
1101	92-93	0.02447122142898195
1101	94-95	-0.15825538145323037
1101	96-97	-0.06942563941719015
1101	98-99	-0.17647120261163707
1101	100-101	0.09195804246606798
1102	1	0.38199135475122503
1102	2	0.34062202487809046
1102	3	0.24765096446423485
1102	4	0.42169693677647757
1102	5	0.5613981395176566
1102	6	0.48703356093793104
1102	7	0.43271980442449376
1102	8	0.42402208578874223
1102	9	0.4712490172860129
1102	10-11	0.4390967451289143
1102	12-13	0.5227751976498425
1102	14-15	0.6096279866860996
1102	16-17	0.3693296613940973
1102	18-19	0.4688051620874276
1102	20-21	0.5275201697089713
1102	22-23	0.1475506955790351
1102	24-25	0.3321025583359969
1102	26-27	0.33538499894294205
1102	28-29	0.5642516470424184
1102	30-31	0.5216258752644123
1102	32-33	0.6850148627854722
1102	34-35	0.6817755279896431
1102	36-37	0.405350947975208
1102	38-39	0.7429060178711637
1102	40-41	0.6134728773109188
1102	42-43	0.6125062003927582
1102	44-45	0.5183912938875821
1102	46-47	0.4642837989028905
1102	48-49	0.5170672208138782
1102	50-51	0.6869323555009217
1102	52-53	0.5062816836030208
1102	54-55	0.3096081591406161
1102	56-57	0.23194534153500967
1102	58-59	0.3288221885217908
1102	60-61	0.13393768256590732
1102	62-63	0.2842470917639872
1102	64-65	0.05055191893485045
1102	66-67	0.0127909511302704
1102	68-69	0.03869606967869288
1102	70-71	-0.015292881424258553
1102	72-73	-0.11659980578692597
1102	74-75	0.047657841544143764
1102	76-77	-0.3162808278303473
1102	78-79	-0.21112909138564362
1102	80-81	-0.2226394872184656
1102	82-83	-0.13118231996298135
1102	84-85	-0.2518251187504603
1102	86-87	-0.10319234455259618
1102	88-89	-0.32693700089170363
1102	90-91	-0.1656131984635536
1102	92-93	-0.32130045999291923
1102	94-95	-0.042154803483157366
1102	96-97	-0.10711758629336998
1102	98-99	-0.1942446933167048
1102	100-101	0.06578127149850843
1103	1	0.3720128331833017
1103	2	0.20075865157101092
1103	3	0.3417980917239447
1103	4	0.3343065662735256
1103	5	0.2429952995916409
1103	6	0.3119843395310937
1103	7	0.26673925433798473
1103	8	0.37056465484786827
1103	9	0.38469391914151174
1103	10-11	0.5270762809561376
1103	12-13	0.5519202367286553
1103	14-15	0.6938637124781124
1103	16-17	0.563150137499342
1103	18-19	0.419814946706488
1103	20-21	0.421254135462803
1103	22-23	0.6051829967543867
1103	24-25	0.5728250689260577
1103	26-27	0.5762119185778118
1103	28-29	0.400754540664515
1103	30-31	0.35179710609789083
1103	32-33	0.46266088629241864
1103	34-35	0.360046514207653
1103	36-37	0.47256799946377726
1103	38-39	0.523351531980083
1103	40-41	0.6524226490004139
1103	42-43	0.46753373272667886
1103	44-45	0.6021643161770953
1103	46-47	0.7196516258158212
1103	48-49	0.4113812003176207
1103	50-51	0.3106617063840673
1103	52-53	0.44988997212831805
1103	54-55	0.5828976017783347
1103	56-57	0.45151407862648796
1103	58-59	0.5840235856534974
1103	60-61	0.4423995907763256
1103	62-63	0.250809260208932
1103	64-65	0.4889595872296084
1103	66-67	0.1683876256037493
1103	68-69	0.3317261265218079
1103	70-71	0.373407645987875
1103	72-73	0.1625095871461113
1103	74-75	0.2940243180450963
1103	76-77	0.19276722834648297
1103	78-79	0.161062097155245
1103	80-81	0.2431755970279923
1103	82-83	0.17294881271966744
1103	84-85	0.16713285050079918
1103	86-87	0.16940414042543495
1103	88-89	0.1702273131417371
1103	90-91	0.06956781192980799
1103	92-93	0.26425180307478513
1103	94-95	0.22613957619770986
1103	96-97	0.11195577170536808
1103	98-99	-0.03986739413788598
1103	100-101	0.04772808006921281
1104	1	0.20339673809661463
1104	2	0.1716875636763895
1104	3	0.14437587959584874
1104	4	0.07189078915186542
1104	5	0.0673574768949905
1104	6	0.21453184501977773
1104	7	0.23687325388375058
1104	8	0.1905737395628364
1104	9	0.24923703368462213
1104	10-11	0.05698959763415701
1104	12-13	-0.01892161352495947
1104	14-15	0.32409688682894
1104	16-17	0.204578330398121
1104	18-19	0.0791665251757081
1104	20-21	0.24465106180090856
1104	22-23	0.39163541555974035
1104	24-25	0.003610896770716465
1104	26-27	-0.14029765822588303
1104	28-29	-0.025470003207082925
1104	30-31	0.06394412706844577
1104	32-33	-0.10766048549953666
1104	34-35	0.15037886336352813
1104	36-37	0.12630787379188746
1104	38-39	0.06466064849405484
1104	40-41	-0.09892460862501906
1104	42-43	-0.1559803620388891
1104	44-45	0.09067074171705514
1104	46-47	0.30961169299155955
1104	48-49	0.12120823066609887
1104	50-51	0.10192678514346909
1104	52-53	0.1558198152758834
1104	54-55	0.31826208094063446
1104	56-57	0.3068248598783683
1104	58-59	-0.06908486487306931
