##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	sel3_SRR5819799.trim_1P.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	1557335
Sequences flagged as poor quality	0
Sequence length	36-101
%GC	43
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	32.01648713988962	33.0	31.0	34.0	30.0	34.0
2	32.204381844625594	34.0	31.0	34.0	30.0	34.0
3	32.250942796508134	34.0	31.0	34.0	30.0	34.0
4	35.759994477745636	37.0	35.0	37.0	33.0	37.0
5	35.7611843309243	37.0	35.0	37.0	33.0	37.0
6	35.75690779440519	37.0	35.0	37.0	33.0	37.0
7	35.73038170977985	37.0	35.0	37.0	33.0	37.0
8	35.71633399364941	37.0	35.0	37.0	33.0	37.0
9	37.368534708331865	39.0	37.0	39.0	34.0	39.0
10-11	37.3636462289745	39.0	37.0	39.0	34.0	39.0
12-13	37.32938545656522	39.0	37.0	39.0	34.0	39.0
14-15	38.67562952094443	40.0	38.0	41.0	34.0	41.0
16-17	38.63207627132249	40.0	38.0	41.0	34.0	41.0
18-19	38.62639027569534	40.0	38.0	41.0	34.0	41.0
20-21	38.558090584235245	40.0	38.0	41.0	34.0	41.0
22-23	38.47295475925219	40.0	38.0	41.0	34.0	41.0
24-25	38.4493827596503	40.0	38.0	41.0	34.0	41.0
26-27	38.34487152732071	40.0	38.0	41.0	33.5	41.0
28-29	38.251469015979225	40.0	38.0	41.0	33.0	41.0
30-31	38.13791990804805	40.0	38.0	41.0	33.0	41.0
32-33	38.03846250164544	40.0	37.5	41.0	33.0	41.0
34-35	37.94322897770871	40.0	37.0	41.0	33.0	41.0
36-37	37.850810914460524	40.0	37.0	41.0	32.5	41.0
38-39	37.81653824826307	40.0	37.0	41.0	32.5	41.0
40-41	37.81905486885309	40.0	37.0	41.0	32.5	41.0
42-43	37.89246559688891	40.0	37.0	41.0	33.0	41.0
44-45	37.83451034886714	40.0	37.0	41.0	32.5	41.0
46-47	37.89519949781388	40.0	37.0	41.0	33.0	41.0
48-49	37.81609527035331	40.0	37.0	41.0	33.0	41.0
50-51	37.217316522825186	39.0	36.0	40.5	31.0	41.0
52-53	37.31141434308329	39.0	36.0	40.0	31.5	41.0
54-55	37.63985577402039	39.0	36.0	41.0	32.0	41.0
56-57	37.57158968978719	39.0	36.0	41.0	32.0	41.0
58-59	37.41447850178187	39.0	35.5	41.0	32.0	41.0
60-61	37.210415808688566	39.0	35.0	41.0	31.5	41.0
62-63	36.97961100315689	39.0	35.0	40.0	31.0	41.0
64-65	36.75508694513864	38.0	35.0	40.0	31.0	41.0
66-67	36.568401318345735	38.0	35.0	40.0	31.0	41.0
68-69	36.34422085708439	37.0	35.0	40.0	31.0	41.0
70-71	36.0528610281858	37.0	34.5	39.5	31.0	41.0
72-73	35.757500906077354	36.0	34.0	39.0	30.5	41.0
74-75	35.47376245250547	36.0	34.0	39.0	30.0	41.0
76-77	34.67102607979285	35.0	33.0	38.0	29.5	40.0
78-79	34.817712088686456	35.0	34.0	37.5	30.0	40.0
80-81	34.79640110466618	35.0	34.0	37.0	30.0	40.0
82-83	34.6332068435582	35.0	34.0	37.0	30.0	39.5
84-85	34.426554435360956	35.0	34.0	36.5	30.0	39.0
86-87	34.22729690325592	35.0	33.5	36.0	30.0	39.0
88-89	34.07439635568254	35.0	33.0	36.0	29.0	39.0
90-91	33.91535018052785	35.0	33.0	35.5	29.0	38.0
92-93	33.74442922378849	35.0	33.0	35.0	29.0	37.0
94-95	33.6686149178048	35.0	33.0	35.0	29.0	37.0
96-97	33.61592800255473	35.0	33.0	35.0	29.0	37.0
98-99	33.55877020345278	35.0	33.0	35.0	29.0	36.0
100-101	33.06861089852899	34.5	32.0	35.0	28.5	35.5
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	0.1628196531619679
1101	2	0.08531112750262082
1101	3	0.16563955892419813
1101	4	0.30542135199875275
1101	5	0.2647569308658859
1101	6	0.22378248642471021
1101	7	0.36010737922082114
1101	8	0.384813428852965
1101	9	0.4043820256957673
1101	10-11	0.36963694872440556
1101	12-13	0.33219021193995246
1101	14-15	0.5859407926425959
1101	16-17	0.4847135241629488
1101	18-19	0.37760253058395676
1101	20-21	0.3825059960846815
1101	22-23	0.5545538568781723
1101	24-25	0.3675081085250653
1101	26-27	0.48084140851467083
1101	28-29	0.07641609797572357
1101	30-31	-0.3409536426690778
1101	32-33	-0.36250911197923585
1101	34-35	-0.05527889632747218
1101	36-37	0.4462751115777479
1101	38-39	0.509022859057886
1101	40-41	0.4520409292337675
1101	42-43	0.5535494226919795
1101	44-45	0.3043033114407123
1101	46-47	0.41131728103685106
1101	48-49	0.5306068579059513
1101	50-51	0.5017746702749619
1101	52-53	0.4662091837337172
1101	54-55	0.6317204986123457
1101	56-57	0.258384128397374
1101	58-59	0.04542073025838533
1101	60-61	0.09144192046305477
1101	62-63	0.24127470016738783
1101	64-65	0.31041382940316
1101	66-67	0.0733502799782002
1101	68-69	0.2970833996457074
1101	70-71	0.418288084901981
1101	72-73	-0.06931575227972075
1101	74-75	-0.20860962205501465
1101	76-77	0.022479224036167977
1101	78-79	0.26171815846725366
1101	80-81	0.056234633227070674
1101	82-83	0.2716013796164418
1101	84-85	0.05513540984538423
1101	86-87	-0.09254660956421645
1101	88-89	-0.03723218007898055
1101	90-91	-0.3967088326159711
1101	92-93	-0.27751037086405717
1101	94-95	-0.21886232150691853
1101	96-97	-0.13178247291502743
1101	98-99	-0.018238925698376818
1101	100-101	-0.02794953283002144
1102	1	0.3081052090068681
1102	2	0.2520355482413805
1102	3	0.19449861166749827
1102	4	0.28326038828733147
1102	5	0.34607967894988434
1102	6	0.33897592279546274
1102	7	0.3258611165490706
1102	8	0.3372332380155285
1102	9	0.42066867402638053
1102	10-11	0.39171828444122525
1102	12-13	0.32646270256875454
1102	14-15	0.3900756383717834
1102	16-17	0.40574460034955706
1102	18-19	0.2880238897689793
1102	20-21	0.31499650038147564
1102	22-23	0.36115172357416725
1102	24-25	0.3701625479284232
1102	26-27	0.2717535977709602
1102	28-29	0.4613909957043276
1102	30-31	0.40728753833598574
1102	32-33	0.4697230033656794
1102	34-35	0.41913457994545666
1102	36-37	0.4728042669800132
1102	38-39	0.4120948024984088
1102	40-41	0.2304702197409867
1102	42-43	0.39451118827626885
1102	44-45	0.28325461989204115
1102	46-47	0.321111727597696
1102	48-49	0.27092933202448677
1102	50-51	0.34468223188522273
1102	52-53	0.05961198209126195
1102	54-55	0.183902375290252
1102	56-57	0.324638975837928
1102	58-59	0.26002321665147576
1102	60-61	0.08476137534843531
1102	62-63	0.028985129337762316
1102	64-65	0.16472416992256456
1102	66-67	0.21829403692093763
1102	68-69	0.13475098466531676
1102	70-71	0.033474798126938765
1102	72-73	0.012797637843981136
1102	74-75	0.2083501735904676
1102	76-77	0.19473236853011855
1102	78-79	0.2599736029245818
1102	80-81	0.15676025390406778
1102	82-83	0.15606515047790737
1102	84-85	0.08635376700132014
1102	86-87	0.17693422102459522
1102	88-89	0.122020645480994
1102	90-91	0.21485551725378826
1102	92-93	0.016194823308026685
1102	94-95	0.01354911976791584
1102	96-97	-0.039278510541585376
1102	98-99	0.11563931796313653
1102	100-101	0.03904306233504684
1103	1	0.2840975083713815
1103	2	0.30602125035882466
1103	3	0.32223359531288054
1103	4	0.33268757273093996
1103	5	0.21819372960879946
1103	6	0.28676579886047193
1103	7	0.345810748483629
1103	8	0.2760644311292779
1103	9	0.5006920344673702
1103	10-11	0.3812437120042347
1103	12-13	0.43596199967801397
1103	14-15	0.4499702393860687
1103	16-17	0.4231818307061346
1103	18-19	0.4329292592078957
1103	20-21	0.4925997930033148
1103	22-23	0.48897834847519306
1103	24-25	0.5310919795448896
1103	26-27	0.450105024673789
