##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	sel3_SRR5819794.trim_1P.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	9455579
Sequences flagged as poor quality	0
Sequence length	36-101
%GC	41
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	32.02302249285845	33.0	31.0	34.0	30.0	34.0
2	32.575389724944394	34.0	31.0	34.0	31.0	34.0
3	32.78849967833805	34.0	31.0	34.0	31.0	34.0
4	36.36130214765272	37.0	37.0	37.0	35.0	37.0
5	36.37815336321552	37.0	37.0	37.0	35.0	37.0
6	36.347499819947565	37.0	37.0	37.0	35.0	37.0
7	36.329454811810045	37.0	37.0	37.0	35.0	37.0
8	36.2551214473487	37.0	37.0	37.0	35.0	37.0
9	38.025918455125804	39.0	38.0	39.0	35.0	39.0
10-11	37.99601092645939	39.0	38.0	39.0	35.0	39.0
12-13	37.95080475769913	39.0	38.0	39.0	35.0	39.0
14-15	39.33724603221019	41.0	39.0	41.0	36.0	41.0
16-17	39.28066150153259	40.0	39.0	41.0	36.0	41.0
18-19	39.365541761112674	40.0	39.0	41.0	36.0	41.0
20-21	39.34237702418858	40.0	39.0	41.0	36.0	41.0
22-23	39.28006830676365	40.0	39.0	41.0	36.0	41.0
24-25	39.20183523399255	40.0	39.0	41.0	36.0	41.0
26-27	39.1240265138708	40.0	39.0	41.0	36.0	41.0
28-29	39.06632941250874	40.0	39.0	41.0	36.0	41.0
30-31	38.996763762430625	40.0	38.0	41.0	35.5	41.0
32-33	38.71730451408634	40.0	38.0	41.0	35.0	41.0
34-35	38.62039167564461	40.0	38.0	41.0	34.5	41.0
36-37	38.506660254035054	40.0	38.0	41.0	34.0	41.0
38-39	38.47574690925055	40.0	38.0	41.0	34.0	41.0
40-41	38.71243023133163	40.0	38.0	41.0	35.0	41.0
42-43	38.72108946714883	40.0	38.0	41.0	35.0	41.0
44-45	38.75198955776133	40.0	38.0	41.0	35.0	41.0
46-47	38.76656607411603	40.0	38.0	41.0	35.0	41.0
48-49	38.69775302025521	40.0	38.0	41.0	35.0	41.0
50-51	38.567342993180205	40.0	38.0	41.0	34.0	41.0
52-53	38.4882634006088	40.0	38.0	41.0	34.0	41.0
54-55	38.34166648106319	40.0	37.5	41.0	34.0	41.0
56-57	38.231192734322676	40.0	37.0	41.0	34.0	41.0
58-59	38.01908298293702	40.0	37.0	41.0	33.5	41.0
60-61	37.900801509009675	39.0	36.0	41.0	33.0	41.0
62-63	37.72851654938742	39.0	36.0	41.0	33.0	41.0
64-65	37.52506919883982	39.0	35.5	40.5	33.0	41.0
66-67	37.24715965931854	38.5	35.0	40.0	33.0	41.0
68-69	36.94436791850798	38.0	35.0	40.0	32.0	41.0
70-71	36.66280664240159	37.0	35.0	40.0	32.0	41.0
72-73	36.359063302579685	37.0	35.0	39.5	32.0	41.0
74-75	36.05763248914299	36.5	35.0	39.0	31.5	41.0
76-77	34.57511020958103	35.0	33.0	37.5	30.0	39.0
78-79	35.51373175123018	36.0	34.0	38.0	31.5	40.0
80-81	35.46490743011663	35.0	34.0	37.5	32.0	40.0
82-83	35.24535241581627	35.0	34.0	37.0	32.0	39.5
84-85	34.99542227131174	35.0	34.0	37.0	31.5	39.0
86-87	34.78605690898269	35.0	34.0	36.0	31.0	39.0
88-89	34.60375020923766	35.0	34.0	36.0	31.0	38.5
90-91	34.40483880800846	35.0	34.0	36.0	31.0	37.0
92-93	34.19465968872865	35.0	34.0	35.0	31.0	37.0
94-95	34.0538544598226	35.0	34.0	35.0	31.0	36.5
96-97	33.95136128269637	35.0	34.0	35.0	31.0	36.0
98-99	33.896213100584575	35.0	34.0	35.0	31.0	36.0
100-101	33.295110650294305	34.5	32.5	35.0	29.0	35.5
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	0.4203017839100056
1101	2	0.3115878738251183
1101	3	0.26767594743542134
1101	4	0.1448647521488695
1101	5	0.07008604318642142
1101	6	0.008718365745437495
1101	7	-0.09299878116254234
1101	8	-0.11790560337821177
1101	9	-0.17793313152692747
1101	10-11	-0.18858427912724807
1101	12-13	-0.20839921238587777
1101	14-15	-0.16783421617630268
1101	16-17	0.013710840117383327
1101	18-19	0.179036983774715
1101	20-21	0.18406051813077795
1101	22-23	0.20190873712540025
1101	24-25	0.21008270245229
1101	26-27	0.15148643306785914
1101	28-29	0.1537119850905384
1101	30-31	0.18908450881063743
1101	32-33	0.2381572520370625
1101	34-35	0.186180834917252
1101	36-37	0.21540672991495313
1101	38-39	0.27399694213099224
1101	40-41	0.30238119999832946
1101	42-43	0.29940192467977766
1101	44-45	0.2666233540598526
1101	46-47	0.21693131435252155
1101	48-49	0.297362244990353
1101	50-51	0.24608056372063913
1101	52-53	0.16676919377226795
1101	54-55	0.1752118582276907
1101	56-57	-0.08986850115937273
1101	58-59	-0.1767538049839743
1101	60-61	-0.09954366992841557
1101	62-63	0.05838192082471494
1101	64-65	0.06962427494681833
1101	66-67	0.1130248094949664
1101	68-69	-0.0246100108169216
1101	70-71	0.09145920135016894
1101	72-73	0.06426753152997122
1101	74-75	0.08570994718932212
1101	76-77	-0.03570586970603529
1101	78-79	-0.007331336751015272
1101	80-81	-0.05731800298723755
1101	82-83	-0.023676466668632656
1101	84-85	-0.02187576333450636
1101	86-87	0.07549170572060859
1101	88-89	0.12253732351895508
1101	90-91	0.07596825542281493
1101	92-93	-9.03936811823769E-4
1101	94-95	0.0029679673856009003
1101	96-97	0.012959712466717122
1101	98-99	0.004745824045343738
1101	100-101	0.05830076200180656
1102	1	0.33962049309135267
1102	2	0.215864595985245
1102	3	0.17697637568402058
1102	4	0.07434381835656723
1102	5	0.054860325809109156
1102	6	0.06477365360847642
1102	7	0.0670799608430741
1102	8	0.08360085778617332
1102	9	0.10120047466856619
1102	10-11	0.15201438799577005
1102	12-13	0.14593574997969938
1102	14-15	0.19778313148704996
1102	16-17	0.1644115869230376
1102	18-19	0.08194758279390868
1102	20-21	0.12320462850921388
1102	22-23	0.01947122297573145
1102	24-25	0.0061086718943457186
1102	26-27	0.04715159697232707
1102	28-29	0.11873369462662708
1102	30-31	0.12592238578616843
1102	32-33	0.19143615852057394
1102	34-35	0.24310711132923757
1102	36-37	0.2024197744715579
1102	38-39	0.16480010207080653
1102	40-41	0.11984180813349354
1102	42-43	0.14559117106004038
1102	44-45	0.18443135905285146
1102	46-47	0.11732181713323797
1102	48-49	0.19387680019297449
1102	50-51	0.14371203318452075
1102	52-53	0.11189277849578616
1102	54-55	0.15010169826206976
1102	56-57	0.1136331755703992
1102	58-59	0.19930953857942058
1102	60-61	0.1819925453075868
1102	62-63	0.14210509940612326
1102	64-65	0.12452824761475512
1102	66-67	0.11215195877471018
1102	68-69	0.12200998339820757
1102	70-71	0.06802415433281084
1102	72-73	0.0665293267113114
1102	74-75	0.0782880437149629
1102	76-77	0.0320931222124301
1102	78-79	0.09077308163460174
1102	80-81	0.12724926249539692
1102	82-83	0.11755776782081284
1102	84-85	0.12498434042888817
1102	86-87	0.07419538523383551
1102	88-89	0.0460953975807854
1102	90-91	0.07114258968395148
1102	92-93	0.07421553370875955
1102	94-95	0.03944225324321593
1102	96-97	-0.016457792265235582
1102	98-99	0.0059118614827582405
1102	100-101	0.10571413159649978
1103	1	0.25595741389957993
1103	2	0.16546111431338062
1103	3	0.1380779210154941
1103	4	0.07507608769033425
1103	5	0.0798783065613975
1103	6	0.060816638564212155
1103	7	0.05573719276995348
1103	8	0.07651017749705602
1103	9	0.08662239482580247
1103	10-11	0.14995462799681292
1103	12-13	0.1444719688053766
1103	14-15	0.11675794147117102
1103	16-17	0.081277024340082
1103	18-19	0.10322842223622786
1103	20-21	0.11130741425200341
