##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	sel3_SRR5819797.trim_1P.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	2098888
Sequences flagged as poor quality	0
Sequence length	36-101
%GC	39
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	29.74587829364883	31.0	30.0	33.0	25.0	34.0
2	30.392840399297153	31.0	30.0	34.0	25.0	34.0
3	30.613428158148505	31.0	30.0	34.0	25.0	34.0
4	34.37737792583501	37.0	35.0	37.0	28.0	37.0
5	34.57060738829323	37.0	35.0	37.0	30.0	37.0
6	34.697179172971595	37.0	35.0	37.0	30.0	37.0
7	34.89233346419628	37.0	35.0	37.0	32.0	37.0
8	34.97948485102587	37.0	35.0	37.0	32.0	37.0
9	36.61643927641685	39.0	35.0	39.0	32.0	39.0
10-11	36.685462730741236	39.0	37.0	39.0	32.0	39.0
12-13	36.65053375882849	39.0	36.0	39.0	32.0	39.0
14-15	37.80894001966756	40.0	37.0	41.0	32.0	41.0
16-17	37.75454812262493	40.0	37.0	41.0	32.0	41.0
18-19	37.83256062257729	40.0	37.0	41.0	32.0	41.0
20-21	37.79609607563624	40.0	37.0	41.0	32.0	41.0
22-23	37.683073370279885	40.0	37.0	41.0	32.0	41.0
24-25	37.61497469136037	40.0	37.0	41.0	32.0	41.0
26-27	37.47637296511296	39.0	36.5	41.0	32.0	41.0
28-29	37.39527668937075	39.0	36.0	41.0	31.0	41.0
30-31	37.303658651628865	39.0	36.0	41.0	31.0	41.0
32-33	36.989454654083495	39.0	36.0	40.5	30.0	41.0
34-35	36.89456250166755	39.0	36.0	40.0	30.0	41.0
36-37	36.77849735574581	39.0	36.0	40.0	30.0	41.0
38-39	36.762318218278786	39.0	35.0	40.0	30.0	41.0
40-41	36.972425269291506	39.0	36.0	40.0	30.0	41.0
42-43	37.08289074632519	39.0	36.0	40.0	30.0	41.0
44-45	37.152520496128034	39.0	36.0	41.0	30.5	41.0
46-47	37.167707626181965	39.0	36.0	41.0	31.0	41.0
48-49	37.19509957479483	39.0	36.0	41.0	31.0	41.0
50-51	36.938788906609574	39.0	35.5	40.5	30.5	41.0
52-53	37.0100554049524	39.0	35.5	40.0	30.5	41.0
54-55	37.073903830489925	39.0	36.0	40.0	31.0	41.0
56-57	37.02092760969089	39.0	35.5	40.0	31.0	41.0
58-59	36.83925363093801	39.0	35.0	40.0	30.0	41.0
60-61	36.75136055686532	39.0	35.0	40.0	30.0	41.0
62-63	36.64598759981017	38.5	35.0	40.0	30.0	41.0
64-65	36.50372849669367	38.0	35.0	40.0	30.0	41.0
66-67	36.30895596695099	38.0	34.5	40.0	30.0	41.0
68-69	36.08730722822467	38.0	34.0	40.0	29.5	41.0
70-71	35.81231552938646	37.0	34.0	39.5	29.0	41.0
72-73	35.48973249477868	36.5	34.0	39.0	29.0	40.5
74-75	35.172826531385155	36.0	34.0	39.0	29.0	40.0
76-77	34.055462010812604	35.0	32.0	37.5	28.5	39.0
78-79	34.74471916642459	35.0	33.5	37.5	29.5	39.0
80-81	34.61226851129208	35.0	34.0	37.0	29.5	39.0
82-83	34.33413717128147	35.0	33.5	37.0	29.0	39.0
84-85	34.0281731916746	35.0	33.0	36.0	29.0	38.5
86-87	33.78517620912229	35.0	33.0	36.0	29.0	37.0
88-89	33.575460291611776	35.0	33.0	35.5	29.0	37.0
90-91	33.37383384073459	35.0	33.0	35.0	29.0	36.5
92-93	33.20027837230349	34.5	33.0	35.0	29.0	36.0
94-95	33.06463265167072	34.0	32.0	35.0	29.0	36.0
96-97	33.01698988183121	34.0	32.0	35.0	29.0	36.0
98-99	33.076070554446574	34.0	32.0	35.0	29.0	35.0
100-101	32.63197812894002	34.0	31.5	35.0	27.5	35.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	0.3545104275005819
1101	2	0.5685808141096196
1101	3	0.5352931578276738
1101	4	0.35123443722704195
1101	5	0.38258037581329063
1101	6	0.3751228239037516
1101	7	0.15857236921564777
1101	8	0.25140830217662113
1101	9	0.19959639920185168
1101	10-11	0.05159707567990779
1101	12-13	0.017249911736918477
1101	14-15	0.18529629212654442
1101	16-17	0.29508879423354983
1101	18-19	0.4789916216739343
1101	20-21	0.3897288378873114
1101	22-23	0.43812670838987344
1101	24-25	0.4297843123209262
1101	26-27	0.3488746865406398
1101	28-29	0.06412820916190753
1101	30-31	-0.10866395129925621
1101	32-33	-0.11573391002860234
1101	34-35	0.358802737596541
1101	36-37	0.5000995891678102
1101	38-39	0.46893294311283995
1101	40-41	0.49049090376122706
1101	42-43	0.668876650820458
1101	44-45	0.36155259030762465
1101	46-47	0.27013748590258757
1101	48-49	0.437497718110464
1101	50-51	0.23964581541319774
1101	52-53	0.4075232259428887
1101	54-55	0.4787594039697467
1101	56-57	0.15122234110163646
1101	58-59	0.026184938131343927
1101	60-61	0.10978299225691757
1101	62-63	0.16100457606930973
1101	64-65	0.20993930430030616
1101	66-67	0.20169214069932906
1101	68-69	0.1964693346043518
1101	70-71	0.243226392471378
1101	72-73	0.13729397418082812
1101	74-75	-0.17292194254773818
1101	76-77	-0.06892849935085366
1101	78-79	-0.12862555943988951
1101	80-81	0.08718766560317448
1101	82-83	0.18966934365018773
1101	84-85	-0.013296983365890469
1101	86-87	-0.06772859071348591
1101	88-89	-0.07118434175214361
1101	90-91	-0.08108948326287191
1101	92-93	-0.09661261010567301
1101	94-95	-0.17912953394868225
1101	96-97	-0.0014252200350597377
1101	98-99	-0.02987187786753509
1101	100-101	-0.14509269899816957
1102	1	0.16751266147134913
1102	2	0.10872677560146826
1102	3	0.14186044227569994
1102	4	0.039348205955384685
1102	5	0.1508111495795319
1102	6	0.13702019227308426
1102	7	0.12351999210041953
1102	8	0.05931826201755541
1102	9	0.007065133437940574
1102	10-11	0.03065785802827037
1102	12-13	-0.03960104114005958
1102	14-15	0.02932779045925571
1102	16-17	0.03658676662664817
1102	18-19	-0.09565706840684385
1102	20-21	-0.21547955686384057
1102	22-23	-0.3086664626038811
1102	24-25	-0.1876535983595531
1102	26-27	-0.008763560873255472
1102	28-29	0.12146051395151858
1102	30-31	0.03372105816728066
1102	32-33	0.09769677464085902
1102	34-35	0.12248335184023773
1102	36-37	0.17967900785329505
1102	38-39	0.050689402619319424
1102	40-41	-0.06747493540739669
1102	42-43	-0.16522876489340632
1102	44-45	-0.06474754613763878
1102	46-47	-0.049353620462646575
1102	48-49	0.007962440060332199
1102	50-51	0.0020520126160405994
1102	52-53	-0.231186356324514
1102	54-55	-0.15772100936754896
1102	56-57	-0.1493851858519406
1102	58-59	0.04794597003974843
1102	60-61	-0.041190344138279045
1102	62-63	-0.10344070439632702
1102	64-65	-0.07707421134824699
1102	66-67	-0.0982030971959773
1102	68-69	-0.04837058605311029
1102	70-71	-0.046345439145007106
1102	72-73	0.0184636020577571
1102	74-75	-0.0357096276134925
1102	76-77	0.15978166943113337
1102	78-79	-0.05567480950271175
1102	80-81	-0.02566282053280844
1102	82-83	-0.026922829756259148
1102	84-85	-0.17755432700967333
1102	86-87	-0.270272944792211
1102	88-89	-0.13485535704891305
1102	90-91	-0.0201118998248333
1102	92-93	-0.07432117132564287
1102	94-95	-0.098349214959633
1102	96-97	-0.12773080285494842
1102	98-99	-0.11304127888742954
1102	100-101	-0.07570778319187355
1103	1	0.7026861940328644
1103	2	0.7235839763948313
1103	3	0.745328875635014
1103	4	0.7790699582001821
1103	5	0.775955152773264
1103	6	0.6900722995673476
1103	7	0.6180640295127375
1103	8	0.5690141602236167
1103	9	0.6137298357046106
1103	10-11	0.6392269193619029
1103	12-13	0.61038533479541
1103	14-15	0.6307779612353173
1103	16-17	0.5876711471119194
1103	18-19	0.6010493932018051
